c;S;X;T;vol;rf
46.7;2064.45;2055;0.142465753;0.000526984;0.05
43.65;2064.45;2060;0.142465753;0.000521032;0.05
18.25;2064.45;2110;0.142465753;0.000456746;0.05
1.675;2064.45;2195;0.142465753;0.000389286;0.05
16.4;2064.45;2115;0.142465753;0.00045119;0.05
47.1;2086.86;2075;0.139726027;0.000515476;0.05
19.8;2086.86;2125;0.139726027;0.000444841;0.05
57.15;2086.86;2060;0.139726027;0.000536905;0.05
11.6;2030.57;2090;0.139726027;0.000361905;0.05
33.15;2030.57;2040;0.139726027;0.000491667;0.05
4.8;1981.01;2095;0.139726027;0.000498016;0.05
16.2;1981.01;2045;0.139726027;0.000624206;0.05
26.85;2086.86;2110;0.139726027;0.000468651;0.05
64.2;2086.86;2050;0.139726027;0.000550397;0.05
10.55;2086.86;2150;0.139726027;0.000409127;0.05
53.7;2086.86;2065;0.139726027;0.000529365;0.05
1.65;1981.01;2130;0.139726027;0.00046627;0.05
50.35;2086.86;2070;0.139726027;0.000522222;0.05
43.95;2086.86;2080;0.139726027;0.00050873;0.05
5.1;2086.86;2175;0.139726027;0.000386905;0.05
15.75;2086.86;2135;0.139726027;0.000431349;0.05
0.6;2030.57;2190;0.139726027;0.000407143;0.05
32.05;2086.86;2100;0.139726027;0.000480159;0.05
42.65;2089.99;2080;0.136986301;0.000500397;0.05
10.45;2089.99;2150;0.136986301;0.000413492;0.05
45.8;2089.99;2075;0.136986301;0.000507143;0.05
0.5;2089.99;2250;0.136986301;0.000380159;0.05
4.45;1992.73;2100;0.136986301;0.000448413;0.05
16.35;1992.73;2050;0.136986301;0.000461111;0.05
31.25;2089.99;2100;0.136986301;0.000477381;0.05
0.3;2089.99;2300;0.136986301;0.000443254;0.05
39.65;2089.99;2085;0.136986301;0.000494444;0.05
62.65;2089.99;2050;0.136986301;0.000537302;0.05
7.9;2089.99;2160;0.136986301;0.000403571;0.05
4.95;2089.99;2175;0.136986301;0.000388889;0.05
39.8;2084.58;2075;0.134246575;0.000446825;0.05
33.85;2084.58;2085;0.134246575;0.000436111;0.05
15.05;2084.58;2125;0.134246575;0.000396825;0.05
36.75;2084.58;2080;0.134246575;0.00044127;0.05
11.85;2084.58;2135;0.134246575;0.000390079;0.05
26.9;1921.42;1975;0.134246575;0.00069881;0.05
17.4;1921.42;2000;0.134246575;0.000657143;0.05
3.7;2084.58;2175;0.134246575;0.000364683;0.05
23.6;2084.58;2105;0.134246575;0.000421429;0.05
19.25;2084.58;2115;0.134246575;0.000410317;0.05
55.95;2084.58;2050;0.134246575;0.000463889;0.05
38.35;1921.42;1950;0.134246575;0.000736905;0.05
7.85;2084.58;2150;0.134246575;0.000378571;0.05
42.8;2084.58;2070;0.134246575;0.000450794;0.05
0.475;2084.58;2250;0.134246575;0.000385317;0.05
6.65;2014.54;2100;0.131506849;0.000437302;0.05
0.325;2014.54;2200;0.131506849;0.000506746;0.05
25.45;1948.51;2000;0.131506849;0.00068373;0.05
3.05;2075.91;2170;0.131506849;0.000514683;0.05
1.725;2014.54;2140;0.131506849;0.000528968;0.05
5.4;1948.51;2075;0.131506849;0.000580159;0.05
16.5;1948.51;2025;0.131506849;0.000645238;0.05
26.85;2003.02;2030;0.128767123;0.000615476;0.05
8.55;2003.02;2080;0.128767123;0.000514286;0.05
6.75;2031.38;2100;0.123287671;0.000437698;0.05
25.3;2031.38;2050;0.123287671;0.000412698;0.05
36.9;1987.89;2000;0.123287671;0.000646825;0.05
15.5;1987.89;2050;0.123287671;0.000574206;0.05
4.25;1987.89;2100;0.123287671;0.000506746;0.05
8.6;1987.89;2075;0.123287671;0.000538095;0.05
51.4;1987.89;1975;0.123287671;0.000686905;0.05
4.95;1987.89;2095;0.123287671;0.000514286;0.05
18.95;1987.89;2040;0.123287671;0.000588095;0.05
26.1;2064.45;2085;0.120547945;0.000455952;0.05
37.15;2064.45;2065;0.120547945;0.00053373;0.05
17.15;2064.45;2105;0.120547945;0.000519841;0.05
21.3;1981.01;2025;0.120547945;0.000597619;0.05
12.65;1981.01;2050;0.120547945;0.00055873;0.05
32.8;1981.01;2000;0.120547945;0.000637302;0.05
0.65;2030.57;2170;0.120547945;0.000435714;0.05
9.25;1991.76;2075;0.117808219;0.000547619;0.05
0.85;1991.76;2150;0.117808219;0.000472222;0.05
43.3;2086.86;2075;0.117808219;0.000617857;0.05
37.05;2086.86;2085;0.117808219;0.000617063;0.05
14.9;1992.73;2045;0.117808219;0.000536111;0.05
49.95;2086.86;2065;0.117808219;0.000686508;0.05
56.9;2086.86;2055;0.117808219;0.000694841;0.05
3.5;1992.73;2095;0.117808219;0.00043254;0.05
6.65;2019.02;2095;0.117808219;0.000543254;0.05
23.25;2019.02;2045;0.117808219;0.000554365;0.05
