c;S;X;T;vol;rf
15.4;2012.74;2065;42;0.000538889;0.000198413
45.15;2012.74;2005;42;0.000644444;0.000198413
12.5;2050.29;2100;42;0.000445238;0.000198413
0.275;1921.42;2140;42;0.000655159;0.000198413
5.65;2012.74;2100;42;0.000478571;0.000198413
42.05;2012.74;2010;42;0.000634921;0.000198413
17.2;2012.74;2060;42;0.000546429;0.000198413
21.25;2012.74;2050;42;0.000563492;0.000198413
65.1;2012.74;1975;42;0.000698016;0.000198413
48.3;2012.74;2000;42;0.000653968;0.000198413
2.2;2050.29;2150;42;0.000451587;0.000198413
33.5;2012.74;2025;42;0.00060873;0.000198413
21.8;2075.91;2095;41;0.00049127;0.000198413
51.95;2075.91;2045;41;0.000465873;0.000198413
19.6;2014.54;2050;41;0.000533333;0.000198413
16.05;2014.54;2060;41;0.00052381;0.000198413
46.95;2014.54;2000;41;0.000626587;0.000198413
1.525;2075.91;2180;41;0.000295238;0.000198413
5;2014.54;2100;41;0.000460317;0.000198413
8.15;2014.54;2085;41;0.000480952;0.000198413
32.95;2030.57;2030;40;0.00052619;0.000198413
10.1;2030.57;2080;40;0.000379365;0.000198413
7.85;2031.38;2085;38;0.000500397;0.000198413
29.7;2031.38;2035;38;0.000517857;0.000198413
3.25;1987.89;2100;38;0.000571032;0.000198413
45.15;2016.16;2000;38;0.000578571;0.000198413
21.9;1987.89;2025;38;0.000536111;0.000198413
33.75;1987.89;2000;38;0.000690079;0.000198413
1.45;1987.89;2125;38;0.000481746;0.000198413
62.35;2016.16;1975;38;0.000617063;0.000198413
17.8;2016.16;2050;38;0.000494444;0.000198413
51.8;2016.16;1990;38;0.000594444;0.000198413
48.45;2016.16;1995;38;0.000586905;0.000198413
3.8;2016.16;2100;38;0.000420238;0.000198413
5.05;2050.29;2120;38;0.000348413;0.000198413
6.05;2050.29;2115;38;0.000386905;0.000198413
27.3;2016.16;2030;38;0.000528968;0.000198413
9.65;2003.02;2065;37;0.000476984;0.000198413
11.15;2003.02;2060;37;0.000484921;0.000198413
30.45;2003.02;2015;37;0.000555159;0.000198413
3.85;1981.01;2085;37;0.000586508;0.000198413
14.9;1981.01;2035;37;0.000480159;0.000198413
9.15;1981.01;2055;37;0.000592857;0.000198413
27.05;1981.01;2005;37;0.000624206;0.000198413
3.2;2075.91;2150;37;0.000363889;0.000198413
25.2;2003.02;2025;37;0.000539683;0.000198413
39.05;2003.02;2000;37;0.000577778;0.000198413
14.45;2003.02;2050;37;0.00049881;0.000198413
16.7;2075.91;2100;37;0.000449206;0.000198413
1.875;2003.02;2115;37;0.00043254;0.000198413
0.075;2003.02;2225;37;0.000554762;0.000198413
19.9;1992.73;2025;36;0.000542063;0.000198413
5.05;1992.73;2075;36;0.000470238;0.000198413
24.15;2019.02;2035;36;0.000486508;0.000198413
6.35;2019.02;2085;36;0.000524206;0.000198413
24.1;1991.76;2025;36;0.000487302;0.000198413
1.45;1991.76;2125;36;0.000541667;0.000198413
32.25;1992.73;2000;36;0.000580952;0.000198413
37.8;1992.73;1990;36;0.000594048;0.000198413
40.95;1992.73;1985;36;0.000604365;0.000198413
10.85;1992.73;2050;36;0.000502778;0.000198413
2.475;2089.99;2175;35;0.000390079;0.000198413
24.4;2089.99;2100;35;0.000422222;0.000198413
13.25;2089.99;2125;35;0.000439683;0.000198413
0.575;2089.99;2225;35;0.000365079;0.000198413
9.85;2012.74;2075;35;0.000522222;0.000198413
0.35;2012.74;2175;35;0.000621032;0.000198413
47.9;2023.25;2000;35;0.000580556;0.000198413
18.7;2023.25;2050;35;0.000487698;0.000198413
2.6;2023.25;2110;35;0.000401984;0.000198413
3.55;2023.25;2100;35;0.000404365;0.000198413
8.05;2023.25;2080;35;0.00044127;0.000198413
6.1;2089.99;2150;35;0.000484921;0.000198413
0.125;1921.42;2150;35;0.000527381;0.000198413
32.1;2031.6;2030;34;0.000539683;0.000198413
15;2014.54;2055;34;0.000589683;0.000198413
34.3;2014.54;2015;34;0.000521032;0.000198413
15.65;2075.91;2100;34;0.000419841;0.000198413
40.5;2014.54;2005;34;0.00069881;0.000198413
11.5;2014.54;2065;34;0.000638889;0.000198413
0.15;2075.91;2300;34;0.000526587;0.000198413
7;2075.91;2125;34;0.00042619;0.000198413
0.45;2075.91;2200;34;0.000353968;0.000198413
0.3;2075.91;2225;34;0.000383333;0.000198413
35.25;2031.6;2025;34;0.000550794;0.000198413
10.3;2031.6;2075;34;0.000444444;0.000198413
20.7;2031.6;2050;34;0.000496032;0.000198413
13.95;2031.6;2065;34;0.000462698;0.000198413
8.55;2031.6;2080;34;0.000431746;0.000198413
7.3;2031.6;2085;34;0.000426984;0.000198413
63.55;2031.6;1985;34;0.000636905;0.000198413
56.05;2031.6;1995;34;0.000617063;0.000198413
3.95;2031.6;2100;34;0.000400397;0.000198413
11.15;2086.86;2125;32;0.000413889;0.000198413
8.6;2031.38;2075;31;0.000427778;0.000198413
33.05;2031.38;2025;31;0.000538095;0.000198413
3.25;2031.38;2100;31;0.000394048;0.000198413
50.2;2031.38;2000;31;0.000594444;0.000198413
3.8;2031.38;2095;31;0.000394048;0.000198413
5.95;2031.38;2085;31;0.000413095;0.000198413
1.175;2031.38;2120;31;0.000367063;0.000198413
0.925;2031.38;2125;31;0.000369841;0.000198413
9.05;1981.01;2045;30;0.000659921;0.000198413
28.25;1981.01;1995;30;0.000623016;0.000198413
3.4;2030.57;2100;30;0.000409921;0.000198413
0.125;2084.58;2300;30;0.000532143;0.000198413
31.85;2030.57;2025;30;0.000532143;0.000198413
0.45;2030.57;2150;30;0.00039881;0.000198413
1.55;2003.02;2105;30;0.000532937;0.000198413
0.1;2019.02;2200;29;0.000591667;0.000198413
5.1;1992.73;2065;29;0.000594444;0.000198413
21.2;1992.73;2015;29;0.000715079;0.000198413
2.1;1991.76;2100;29;0.00052619;0.000198413
11;1991.76;2050;29;0.00047619;0.000198413
0.425;1991.76;2150;29;0.00064881;0.000198413
20.4;1991.76;2025;29;0.000690079;0.000198413
0.375;2019.02;2150;29;0.000425794;0.000198413
2.6;2019.02;2100;29;0.000429762;0.000198413
41.35;2019.02;2000;29;0.000584921;0.000198413
18.1;1921.42;1975;29;0.000688492;0.000198413
14.7;2019.02;2050;29;0.0005;0.000198413
10.25;1921.42;2000;29;0.000734127;0.000198413
7.2;2050.29;2100;28;0.00044127;0.000198413
16.6;2050.29;2075;28;0.000498016;0.000198413
0.675;2050.29;2150;28;0.000378968;0.000198413
0.15;2050.29;2200;28;0.000421429;0.000198413
30.3;2050.29;2050;28;0.000561111;0.000198413
24.35;2050.29;2060;28;0.000536111;0.000198413
0.125;2089.99;2325;28;0.000582143;0.000198413
14.35;2050.29;2080;28;0.000486111;0.000198413
20.1;2089.99;2100;28;0.000356746;0.000198413
23.3;2023.25;2035;28;0.000470635;0.000198413
45.75;1948.51;1940;28;0.000709524;0.000198413
